time,Import T1 kWh,Import T2 kWh,Export T1 kWh,Export T2 kWh,L1 max W,L2 max W,L3 max W
2024-03-22 21:30,19031.370,18790.385,0.000,0.000,136,1230,180
2024-03-22 21:45,19031.370,18790.600,0.000,0.000,101,2281,30
2024-03-22 22:00,19031.370,18790.916,0.000,0.000,123,542,23
2024-03-22 22:15,19031.370,18791.016,0.000,0.000,121,753,33
2024-03-22 22:30,19031.370,18791.176,0.000,0.000,87,2295,29
2024-03-22 22:45,19031.370,18791.722,0.000,0.000,114,204,23
2024-03-22 23:00,19031.373,18791.782,0.000,0.000,139,204,25
2024-03-22 23:15,19031.450,18791.782,0.000,0.000,119,178,23
2024-03-22 23:30,19031.509,18791.782,0.000,0.000,104,421,23
2024-03-22 23:45,19031.571,18791.782,0.000,0.000,85,160,29
2024-03-23 00:00,19031.632,18791.782,0.000,0.000,118,178,22
2024-03-23 00:15,19031.697,18791.782,0.000,0.000,102,386,22
2024-03-23 00:30,19031.751,18791.782,0.000,0.000,123,114,22
2024-03-23 00:45,19031.805,18791.782,0.000,0.000,89,195,22
2024-03-23 01:00,19031.866,18791.782,0.000,0.000,75,129,22
2024-03-23 01:15,19031.910,18791.782,0.000,0.000,73,136,22
2024-03-23 01:30,19031.962,18791.782,0.000,0.000,127,163,23
2024-03-23 01:45,19032.027,18791.782,0.000,0.000,130,427,23
2024-03-23 02:00,19032.089,18791.782,0.000,0.000,60,117,22
2024-03-23 02:15,19032.125,18791.782,0.000,0.000,101,199,22
2024-03-23 02:30,19032.182,18791.782,0.000,0.000,110,162,22
2024-03-23 02:45,19032.242,18791.782,0.000,0.000,88,180,23
2024-03-23 03:00,19032.291,18791.782,0.000,0.000,91,147,23
2024-03-23 03:15,19032.342,18791.782,0.000,0.000,97,134,22
2024-03-23 03:30,19032.399,18791.782,0.000,0.000,66,164,22
2024-03-23 03:45,19032.447,18791.782,0.000,0.000,72,133,22
2024-03-23 04:00,19032.492,18791.782,0.000,0.000,113,150,23
2024-03-23 04:15,19032.562,18791.782,0.000,0.000,128,125,22
2024-03-23 04:30,19032.609,18791.782,0.000,0.000,59,118,23
2024-03-23 04:45,19032.659,18791.782,0.000,0.000,128,203,23
2024-03-23 05:00,19032.708,18791.782,0.000,0.000,109,123,23
2024-03-23 05:15,19032.769,18791.782,0.000,0.000,98,68,22
2024-03-23 05:30,19032.805,18791.782,0.000,0.000,66,65,22
2024-03-23 05:45,19032.846,18791.782,0.000,0.000,99,105,22
2024-03-23 06:00,19032.886,18791.782,0.000,0.000,95,73,22
2024-03-23 06:15,19032.933,18791.782,0.000,0.000,68,95,22
2024-03-23 06:30,19032.970,18791.782,0.000,0.000,114,68,22
2024-03-23 06:45,19033.013,18791.782,0.000,0.000,302,345,22
2024-03-23 07:00,19033.091,18791.782,0.000,0.000,251,64,22
2024-03-23 07:15,19033.160,18791.782,0.000,0.000,82,380,22
2024-03-23 07:30,19033.200,18791.782,0.000,0.000,149,64,22
2024-03-23 07:45,19033.256,18791.782,0.000,0.000,113,67,22
2024-03-23 08:00,19033.309,18791.782,0.000,0.000,100,251,23
2024-03-23 08:15,19033.388,18791.782,0.000,0.000,138,98,23
2024-03-23 08:30,19033.451,18791.782,0.000,0.000,151,139,22
2024-03-23 08:45,19033.515,18791.782,0.000,0.000,110,102,22
2024-03-23 09:00,19033.579,18791.782,0.000,0.000,441,368,22
2024-03-23 09:15,19033.666,18791.782,0.000,0.000,157,377,22
2024-03-23 09:30,19033.739,18791.782,0.000,0.000,661,125,30
2024-03-23 09:45,19033.845,18791.782,0.000,0.000,129,447,197
2024-03-23 10:00,19033.935,18791.782,0.000,0.000,154,128,30
2024-03-23 10:15,19034.007,18791.782,0.000,0.000,144,104,27
2024-03-23 10:30,19034.075,18791.782,0.000,0.000,87,125,23
2024-03-23 10:45,19034.128,18791.782,0.000,0.000,83,127,23
2024-03-23 11:00,19034.175,18791.782,0.000,0.000,145,96,23
2024-03-23 11:15,19034.241,18791.782,0.000,0.000,147,140,23
2024-03-23 11:30,19034.312,18791.782,0.000,0.000,128,132,22
2024-03-23 11:45,19034.377,18791.782,0.000,0.000,865,119,23
2024-03-23 12:00,19034.517,18791.782,0.000,0.000,136,402,23
2024-03-23 12:15,19034.593,18791.782,0.000,0.000,90,148,23
2024-03-23 12:30,19034.653,18791.782,0.000,0.000,145,147,30
2024-03-23 12:45,19034.725,18791.782,0.000,0.000,141,153,30
2024-03-23 13:00,19034.803,18791.782,0.000,0.000,917,133,34
2024-03-23 13:15,19035.022,18791.782,0.000,0.000,124,183,27
2024-03-23 13:30,19035.092,18791.782,0.000,0.000,111,974,23
2024-03-23 13:45,19035.232,18791.782,0.000,0.000,81,837,23
2024-03-23 14:00,19035.353,18791.782,0.000,0.000,107,268,23
2024-03-23 14:15,19035.441,18791.782,0.000,0.000,1540,180,24
2024-03-23 14:30,19035.640,18791.782,0.000,0.000,869,185,23
2024-03-23 14:45,19035.762,18791.782,0.000,0.000,93,523,23
2024-03-23 15:00,19035.831,18791.782,0.000,0.000,90,513,23
2024-03-23 15:15,19035.909,18791.782,0.000,0.000,232,215,23
2024-03-23 15:30,19036.012,18791.782,0.000,0.000,191,171,23
2024-03-23 15:45,19036.102,18791.782,0.000,0.000,189,163,23
2024-03-23 16:00,19036.198,18791.782,0.000,0.000,188,231,33
2024-03-23 16:15,19036.300,18791.782,0.000,0.000,154,236,26
2024-03-23 16:30,19036.395,18791.782,0.000,0.000,101,147,22
2024-03-23 16:45,19036.464,18791.782,0.000,0.000,157,465,22
2024-03-23 17:00,19036.551,18791.782,0.000,0.000,144,148,22
2024-03-23 17:15,19036.620,18791.782,0.000,0.000,108,208,22
2024-03-23 17:30,19036.696,18791.782,0.000,0.000,118,486,23
